ID,購入対象ID,購入レベル,値段,個数,
Vending_001_001,Item_001_001,1,1,99,
Vending_001_002,Item_001_002,1,1,99,
Vending_001_003,Item_001_003,1,1,99,
Vending_001_004,Item_001_004,1,1,99,
Vending_001_005,Item_001_005,1,1,99,
Vending_001_006,Item_001_006,1,1,99,
Vending_001_007,Item_001_007,1,1,99,
Vending_001_008,Item_002_001,1,1,99,
Vending_001_009,Item_002_002,1,1,99,
Vending_001_010,Item_002_003,1,1,99,
Vending_001_011,Item_002_004,1,1,99,
Vending_001_012,Item_002_005,1,1,99,
Vending_001_013,Item_002_006,1,1,99,
Vending_001_014,Item_002_007,1,1,99,
Vending_001_015,Item_003_001,1,1,99,
Vending_001_016,Item_003_002,1,1,99,
Vending_001_017,Item_003_003,1,1,99,
Vending_001_018,Item_003_004,1,1,99,
Vending_001_019,Item_003_005,1,1,99,
Vending_001_020,Item_003_006,1,1,99,
Vending_001_021,Item_003_007,1,1,99,
Vending_001_022,Item_010_001,1,1,99,
